#	X	rho	      u	              P	        rho_initial
   2.76892    0.24122083    0.87785146    0.32491144    0.12500000  
   2.80876    0.24122299    0.87786495    0.32491561    0.12500000  
   2.84861    0.24121396    0.87782011    0.32490019    0.12500000  
   2.88845    0.24121158    0.87781105    0.32489653    0.12500000  
   2.92829    0.24123201    0.87792212    0.32493275    0.12500000  
   2.96813    0.24123343    0.87791519    0.32493018    0.12500000  
   3.00797    0.24121253    0.87777987    0.32488543    0.12500000  
   3.04781    0.24126078    0.87804393    0.32497335    0.12500000  
   3.08765    0.24132157    0.87837508    0.32508581    0.12500000  
   3.12749    0.24110512    0.87710994    0.32466959    0.12500000  
   3.16733    0.23956714    0.86848700    0.32182799    0.12500000  
   3.20717    0.23111246    0.82052394    0.30628310    0.12500000  
   3.24701    0.19040353    0.56616438    0.23430978    0.12500000  
   3.28685    0.14187513    0.16989475    0.15195996    0.12500000  
   3.32669    0.12792389    0.02860004    0.12929397    0.12500000  
   3.36653    0.12540269    0.00372535    0.12555389    0.12500000  
   3.40637    0.12502189    0.00023013    0.12503100    0.12500000  
   3.44622    0.12498307   -0.00014463    0.12497876    0.12500000  
   3.48606    0.12500312    0.00002764    0.12500405    0.12500000  
   3.52590    0.12500401    0.00003754    0.12500555    0.12500000  
   3.56574    0.12499977   -0.00000192    0.12499972    0.12500000  
   3.60558    0.12499939   -0.00000582    0.12499914    0.12500000  
   3.64542    0.12500006    0.00000052    0.12500008    0.12500000  
   3.68526    0.12500011    0.00000103    0.12500015    0.12500000  
   3.72510    0.12499999   -0.00000009    0.12499999    0.12500000  
   3.76494    0.12499998   -0.00000018    0.12499997    0.12500000  
   3.80478    0.12500000    0.00000002    0.12500000    0.12500000  
   3.84462    0.12500000    0.00000003    0.12500000    0.12500000  
   3.88446    0.12500000   -0.00000000    0.12500000    0.12500000  
   3.92430    0.12500000   -0.00000001    0.12500000    0.12500000  
   3.96414    0.12500000    0.00000000    0.12500000    0.12500000  
   4.00398    0.12500000    0.00000000    0.12500000    0.12500000  
   4.04382    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.08367    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.12351    0.12500000    0.00000000    0.12500000    0.12500000  
   4.16335    0.12500000    0.00000000    0.12500000    0.12500000  
   4.20319    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.24303    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.28287    0.12500000    0.00000000    0.12500000    0.12500000  
   4.32271    0.12500000    0.00000000    0.12500000    0.12500000  
   4.36255    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.40239    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.44223    0.12500000    0.00000000    0.12500000    0.12500000  
   4.48207    0.12500000    0.00000000    0.12500000    0.12500000  
   4.52191    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.56175    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.60159    0.12500000    0.00000000    0.12500000    0.12500000  
   4.64143    0.12500000    0.00000000    0.12500000    0.12500000  
   4.68127    0.12500000    0.00000000    0.12500000    0.12500000  
   4.72112    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.76096    0.12500000    0.00000000    0.12500000    0.12500000  
   4.80080    0.12500000   -0.00000000    0.12500000    0.12500000  
   4.84064    0.12500000    0.00000000    0.12500000    0.12500000  
   4.88048    0.12500000    0.00000000    0.12500000    0.12500000  
   4.92032    0.12500000    0.00000000    0.12500000    0.12500000  
   4.96016    0.12500000    0.00000000    0.12500000    0.12500000  
   5.00000    0.12500000    0.00000000    0.12500000    0.12500000  
